,2014 offence or offence category,2014 sex,2014 total suspects number,2014 children under 21,2014 adults 21>,2015 offence or offence category,2015 sex,2015 total suspects number,2015 children under 21,2015 adults 21>,2016 offence or offence category,2016 sex,2016 total suspects number,2016 children under 21,2016 adults 21>,2017 offence or offence category,2017 sex,2017 total suspects number,2017 children under 21,2017 adults 21>,2018 offence or offence category,2018 sex,2018 total suspects number,2018 children under 21,2018 adults 21>,2019 offence or offence category,2019 sex,2019 total suspects number,2019 children under 21,2019 adults 21>,2020 offence or offence category,2020 sex,2020 total suspects number,2020 children under 21,2020 adults 21>,2021 offence or offence category,2021 sex,2021 total suspects number,2021 children under 21,2021 adults 21>,2022 offence or offence category,2022 sex,2022 total suspects number,2022 children under 21,2022 adults 21>,2023 offence or offence category,2023 sex,2023 total suspects number,2023 children under 21,2023 adults 21>
240,robbery of post offices and postal agencies (sect. 249 PC),m,6.0,0.0,6.0,serious robbery of post offices and postal agencies (sect. 250 PC),m,16.0,3.0,13.0,other forms of robbery resulting in death (sect. 251 PC),m,0.0,0.0,0.0,offences involving brutality and crimes against personal freedom,m,502707.0,101468.0,401239.0,possession or procurement of child pornography (sect. 184b (3) PC),m,2873.0,608.0,2265.0,possession or procurement of child pornography (sect. 184b (3) PC),M,4703.0,1692.0,3011.0,possession or procurement of child pornography (sect. 184b (3) PC),M,7965.0,3819.0,4146.0,possession or procurement of child pornography (sect. 184b (3) PC),M,15149.0,7747.0,7402.0,dissemination of pornographic content depicting violent acts or sexual acts with animals (sect. 184a PC),M,325,187,138,organisation of and attendance at presentations involving child and juvenile pornography (sect. 184e PC),x,0.0,0.0,0.0
241,robbery of post offices and postal agencies (sect. 249 PC),f,0.0,0.0,0.0,serious robbery of post offices and postal agencies (sect. 250 PC),f,2.0,0.0,2.0,other forms of robbery resulting in death (sect. 251 PC),f,0.0,0.0,0.0,offences involving brutality and crimes against personal freedom,f,111921.0,21293.0,90628.0,possession or procurement of child pornography (sect. 184b (3) PC),f,317.0,154.0,163.0,possession or procurement of child pornography (sect. 184b (3) PC),W,619.0,357.0,262.0,possession or procurement of child pornography (sect. 184b (3) PC),W,1493.0,920.0,573.0,possession or procurement of child pornography (sect. 184b (3) PC),W,3624.0,1857.0,1767.0,dissemination of pornographic content depicting violent acts or sexual acts with animals (sect. 184a PC),W,48,16,32,organisation of and attendance at presentations involving child and juvenile pornography (sect. 184e PC),f,0.0,0.0,0.0
242,robbery of post offices and postal agencies (sect. 249 PC),x,6.0,0.0,6.0,serious robbery of post offices and postal agencies (sect. 250 PC),x,18.0,3.0,15.0,other forms of robbery resulting in death (sect. 251 PC),x,0.0,0.0,0.0,offences involving brutality and crimes against personal freedom,x,614628.0,122761.0,491867.0,possession or procurement of child pornography (sect. 184b (3) PC),x,3190.0,762.0,2428.0,possession or procurement of child pornography (sect. 184b (3) PC),X,5322.0,2049.0,3273.0,possession or procurement of child pornography (sect. 184b (3) PC),X,9458.0,4739.0,4719.0,possession or procurement of child pornography (sect. 184b (3) PC),X,18773.0,9604.0,9169.0,dissemination of pornographic content depicting violent acts or sexual acts with animals (sect. 184a PC),X,373,203,170,organisation of and attendance at presentations involving child and juvenile pornography (sect. 184e PC),w,0.0,0.0,0.0
243,serious robbery of post offices and postal agencies (sect. 250 PC),m,21.0,8.0,13.0,robbery resulting in death of post offices and postal agencies (sect. 251 PC),m,0.0,0.0,0.0,theft resembling robbery (sect. 252 PC),m,6746.0,1734.0,5012.0,"robbery, extortion resembling robbery, and assault on motorists with intent to rob (sects. 249-252, 255, 316a PC)",m,24461.0,9317.0,15144.0,"dissemination, acquisition, possession and production of writings of juvenile pornography (sect. 184c PC)",m,1222.0,638.0,584.0,"dissemination, acquisition, possession and production of writings of juvenile pornography (sect. 184c PC)",M,1508.0,864.0,644.0,"dissemination, acquisition, possession and production of writings of juvenile pornography (sect. 184c PC)",M,2313.0,1414.0,899.0,"dissemination, acquisition, possession and production of writings of juvenile pornography (sect. 184c PC)",M,3762.0,2141.0,1621.0,organisation of and attendance at presentations involving child and juvenile pornography (sect. 184e PC),M,1,0,1,"dissemination of pornographic content (products) to persons under 18 years of age (sect. 184 (1) no. 1, 2, 5 PC)",m,1757.0,1082.0,675.0
244,serious robbery of post offices and postal agencies (sect. 250 PC),f,1.0,1.0,0.0,robbery resulting in death of post offices and postal agencies (sect. 251 PC),f,0.0,0.0,0.0,theft resembling robbery (sect. 252 PC),f,1189.0,307.0,882.0,"robbery, extortion resembling robbery, and assault on motorists with intent to rob (sects. 249-252, 255, 316a PC)",f,2487.0,803.0,1684.0,"dissemination, acquisition, possession and production of writings of juvenile pornography (sect. 184c PC)",f,253.0,231.0,22.0,"dissemination, acquisition, possession and production of writings of juvenile pornography (sect. 184c PC)",W,330.0,290.0,40.0,"dissemination, acquisition, possession and production of writings of juvenile pornography (sect. 184c PC)",W,516.0,416.0,100.0,"dissemination, acquisition, possession and production of writings of juvenile pornography (sect. 184c PC)",W,853.0,515.0,338.0,organisation of and attendance at presentations involving child and juvenile pornography (sect. 184e PC),W,1,1,0,"dissemination of pornographic content (products) to persons under 18 years of age (sect. 184 (1) no. 1, 2, 5 PC)",f,267.0,211.0,56.0
245,serious robbery of post offices and postal agencies (sect. 250 PC),x,22.0,9.0,13.0,robbery resulting in death of post offices and postal agencies (sect. 251 PC),x,0.0,0.0,0.0,theft resembling robbery (sect. 252 PC),x,7935.0,2041.0,5894.0,"robbery, extortion resembling robbery, and assault on motorists with intent to rob (sects. 249-252, 255, 316a PC)",x,26948.0,10120.0,16828.0,"dissemination, acquisition, possession and production of writings of juvenile pornography (sect. 184c PC)",x,1475.0,869.0,606.0,"dissemination, acquisition, possession and production of writings of juvenile pornography (sect. 184c PC)",X,1838.0,1154.0,684.0,"dissemination, acquisition, possession and production of writings of juvenile pornography (sect. 184c PC)",X,2829.0,1830.0,999.0,"dissemination, acquisition, possession and production of writings of juvenile pornography (sect. 184c PC)",X,4615.0,2656.0,1959.0,organisation of and attendance at presentations involving child and juvenile pornography (sect. 184e PC),X,2,1,1,"dissemination of pornographic content (products) to persons under 18 years of age (sect. 184 (1) no. 1, 2, 5 PC)",x,2024.0,1293.0,731.0
246,robbery resulting in death of post offices and postal agencies (sect. 251 PC),m,0.0,0.0,0.0,extortion resembling robbery of post offices and postal agencies (sect. 255 PC),m,18.0,3.0,15.0,other forms of extorsion resembling robbery (sect. 255 PC),m,2445.0,849.0,1596.0,other forms of robbery (sect. 249 PC),m,2124.0,852.0,1272.0,"dissemination, acquisition, possession and production of juvenile pornography (sect. 184c (1) PC)",m,648.0,430.0,218.0,"dissemination, acquisition, possession and production of juvenile pornography (sect. 184c (1) PC)",M,839.0,579.0,260.0,"dissemination, acquisition, possession and production of juvenile pornography (sect. 184c (1) PC)",M,1182.0,864.0,318.0,"dissemination, acquisition, possession and production of juvenile pornography (sect. 184c (1) PC)",M,1860.0,1205.0,655.0,"dissemination of pornographic content (products) to persons under 18 years of age (sect. 184 (1) no. 1, 2, 5 PC)",M,1669,1121,548,"dissemination, acquisition, possession and production of child pornographic content (sect. 184b PC)",w,31572.0,14430.0,17142.0
247,robbery resulting in death of post offices and postal agencies (sect. 251 PC),f,0.0,0.0,0.0,extortion resembling robbery of post offices and postal agencies (sect. 255 PC),f,2.0,0.0,2.0,other forms of extorsion resembling robbery (sect. 255 PC),f,166.0,53.0,113.0,other forms of robbery (sect. 249 PC),f,198.0,77.0,121.0,"dissemination, acquisition, possession and production of juvenile pornography (sect. 184c (1) PC)",f,192.0,179.0,13.0,"dissemination, acquisition, possession and production of juvenile pornography (sect. 184c (1) PC)",W,241.0,223.0,18.0,"dissemination, acquisition, possession and production of juvenile pornography (sect. 184c (1) PC)",W,336.0,294.0,42.0,"dissemination, acquisition, possession and production of juvenile pornography (sect. 184c (1) PC)",W,472.0,381.0,91.0,"dissemination of pornographic content (products) to persons under 18 years of age (sect. 184 (1) no. 1, 2, 5 PC)",W,266,186,80,"dissemination, acquisition, possession and production of child pornographic content (sect. 184b PC)",f,5892.0,3360.0,2532.0
248,robbery resulting in death of post offices and postal agencies (sect. 251 PC),x,0.0,0.0,0.0,extortion resembling robbery of post offices and postal agencies (sect. 255 PC),x,20.0,3.0,17.0,other forms of extorsion resembling robbery (sect. 255 PC),x,2611.0,902.0,1709.0,other forms of robbery (sect. 249 PC),x,2322.0,929.0,1393.0,"dissemination, acquisition, possession and production of juvenile pornography (sect. 184c (1) PC)",x,840.0,609.0,231.0,"dissemination, acquisition, possession and production of juvenile pornography (sect. 184c (1) PC)",X,1080.0,802.0,278.0,"dissemination, acquisition, possession and production of juvenile pornography (sect. 184c (1) PC)",X,1518.0,1158.0,360.0,"dissemination, acquisition, possession and production of juvenile pornography (sect. 184c (1) PC)",X,2332.0,1586.0,746.0,"dissemination of pornographic content (products) to persons under 18 years of age (sect. 184 (1) no. 1, 2, 5 PC)",X,1935,1307,628,"dissemination, acquisition, possession and production of child pornographic content (sect. 184b PC)",m,37464.0,17790.0,19674.0
249,extortion resembling robbery of post offices and postal agencies (sect. 255 PC),m,12.0,2.0,10.0,robbery/extorsion resembling robbery of other cash points and businesses,m,1869.0,737.0,1132.0,robbery/extorsion resembling robbery to the prejudice of financial institutions and post offices/postal agencies,m,130.0,16.0,114.0,other forms of serious robbery (sect. 250 PC),m,986.0,418.0,568.0,dissemination of juvenile pornography (sect. 184c (1) no 1 PC),m,497.0,329.0,168.0,dissemination of juvenile pornography (sect. 184c (1) no 1 PC),M,670.0,472.0,198.0,dissemination of juvenile pornography (sect. 184c (1) no 1 PC),M,896.0,657.0,239.0,dissemination of juvenile pornography (sect. 184c (1) no 1 PC),M,1487.0,967.0,520.0,"dissemination, acquisition, possession and production of child pornographic content (sect. 184b PC)",M,30189,14733,15456,"dissemination, acquisition, possession and production of child pornography (sect. 184b (1) PC)",x,19761.0,9582.0,10179.0
250,extortion resembling robbery of post offices and postal agencies (sect. 255 PC),f,1.0,0.0,1.0,robbery/extorsion resembling robbery of other cash points and businesses,f,69.0,27.0,42.0,robbery/extorsion resembling robbery to the prejudice of financial institutions and post offices/postal agencies,f,7.0,1.0,6.0,other forms of serious robbery (sect. 250 PC),f,75.0,24.0,51.0,dissemination of juvenile pornography (sect. 184c (1) no 1 PC),f,152.0,142.0,10.0,dissemination of juvenile pornography (sect. 184c (1) no 1 PC),W,190.0,174.0,16.0,dissemination of juvenile pornography (sect. 184c (1) no 1 PC),W,261.0,225.0,36.0,dissemination of juvenile pornography (sect. 184c (1) no 1 PC),W,361.0,276.0,85.0,"dissemination, acquisition, possession and production of child pornographic content (sect. 184b PC)",W,6213,3333,2880,"dissemination, acquisition, possession and production of child pornography (sect. 184b (1) PC)",f,3817.0,2401.0,1416.0
251,extortion resembling robbery of post offices and postal agencies (sect. 255 PC),x,13.0,2.0,11.0,robbery/extorsion resembling robbery of other cash points and businesses,x,1938.0,764.0,1174.0,robbery/extorsion resembling robbery to the prejudice of financial institutions and post offices/postal agencies,x,137.0,17.0,120.0,other forms of serious robbery (sect. 250 PC),x,1061.0,442.0,619.0,dissemination of juvenile pornography (sect. 184c (1) no 1 PC),x,649.0,471.0,178.0,dissemination of juvenile pornography (sect. 184c (1) no 1 PC),X,860.0,646.0,214.0,dissemination of juvenile pornography (sect. 184c (1) no 1 PC),X,1157.0,882.0,275.0,dissemination of juvenile pornography (sect. 184c (1) no 1 PC),X,1848.0,1243.0,605.0,"dissemination, acquisition, possession and production of child pornographic content (sect. 184b PC)",X,36402,18066,18336,"dissemination, acquisition, possession and production of child pornography (sect. 184b (1) PC)",w,23578.0,11983.0,11595.0
252,robbery/extorsion resembling robbery of other cash points and businesses,m,1818.0,684.0,1134.0,robbery of other cash points or businesses (sect. 249 PC),m,171.0,57.0,114.0,robberies/extorsion resembling robbery of financial institutions (banks/savings banks),m,109.0,13.0,96.0,other forms of robbery resulting in death (sect. 251 PC),m,0.0,0.0,0.0,procuring juvenile pornography for another (sect. 184c (1) No. 2 PC),m,46.0,30.0,16.0,procuring juvenile pornography for another (sect. 184c (1) No. 2 PC),M,54.0,30.0,24.0,procuring juvenile pornography for another (sect. 184c (1) No. 2 PC),M,110.0,80.0,30.0,procuring juvenile pornography for another (sect. 184c (1) No. 2 PC),M,199.0,116.0,83.0,"dissemination, acquisition, possession and production of child pornography (sect. 184b (1) PC)",M,16953,8434,8519,dissemination of child pornography (sect. 184b (1) no 1 PC),m,16294.0,7815.0,8479.0
253,robbery/extorsion resembling robbery of other cash points and businesses,f,72.0,19.0,53.0,robbery of other cash points or businesses (sect. 249 PC),f,4.0,2.0,2.0,robberies/extorsion resembling robbery of financial institutions (banks/savings banks),f,6.0,1.0,5.0,other forms of robbery resulting in death (sect. 251 PC),f,0.0,0.0,0.0,procuring juvenile pornography for another (sect. 184c (1) No. 2 PC),f,14.0,13.0,1.0,procuring juvenile pornography for another (sect. 184c (1) No. 2 PC),W,25.0,25.0,0.0,procuring juvenile pornography for another (sect. 184c (1) No. 2 PC),W,38.0,35.0,3.0,procuring juvenile pornography for another (sect. 184c (1) No. 2 PC),W,59.0,54.0,5.0,"dissemination, acquisition, possession and production of child pornography (sect. 184b (1) PC)",W,3189,1873,1316,dissemination of child pornography (sect. 184b (1) no 1 PC),f,3088.0,1879.0,1209.0
254,robbery/extorsion resembling robbery of other cash points and businesses,x,1890.0,703.0,1187.0,robbery of other cash points or businesses (sect. 249 PC),x,175.0,59.0,116.0,robberies/extorsion resembling robbery of financial institutions (banks/savings banks),x,115.0,14.0,101.0,other forms of robbery resulting in death (sect. 251 PC),x,0.0,0.0,0.0,procuring juvenile pornography for another (sect. 184c (1) No. 2 PC),x,60.0,43.0,17.0,procuring juvenile pornography for another (sect. 184c (1) No. 2 PC),X,79.0,55.0,24.0,procuring juvenile pornography for another (sect. 184c (1) No. 2 PC),X,148.0,115.0,33.0,procuring juvenile pornography for another (sect. 184c (1) No. 2 PC),X,258.0,170.0,88.0,"dissemination, acquisition, possession and production of child pornography (sect. 184b (1) PC)",X,20142,10307,9835,dissemination of child pornography (sect. 184b (1) no 1 PC),x,19382.0,9694.0,9688.0
255,robbery of other cash points or businesses (sect. 249 PC),m,159.0,37.0,122.0,serious robbery of other cash points or businesses (sect. 250 PC),m,736.0,297.0,439.0,robbery of financial institutions (banks/savings banks) (sect. 249 PC),m,11.0,0.0,11.0,theft resembling robbery (sect. 252 PC),m,6549.0,1640.0,4909.0,production of juvenile pornography showing an actual activity without intent to disseminate (sect. 184c (1) No. 3 PC),m,53.0,34.0,19.0,production of juvenile pornography showing an actual activity without intent to disseminate (sect. 184c (1) No. 3 PC),M,58.0,33.0,25.0,production of juvenile pornography showing an actual activity without intent to disseminate (sect. 184c (1) No. 3 PC),M,89.0,58.0,31.0,production of juvenile pornography showing an actual activity without intent to disseminate (sect. 184c (1) No. 3 PC),M,89.0,47.0,42.0,dissemination of child pornography (sect. 184b (1) no 1 PC),M,14543,7196,7347,procuring child pornography for another pursuant to sect. 184b (1) No. 2 PC,w,3013.0,1448.0,1565.0
